Incident,change,date,year,month,day,time,hour,addr,lon,lat,zip,nature,all,all2
2012226033,n,11/28/12,2012,11,Wednesday,21:06:16,21,230 APPLE TREE CT-CO,-92.346222,38.89877,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Nov-28-2012<br\>Time: 21:06<br\>Address: 230 APPLE TREE CT-CO,Incident: SF-SHOTS FIRED Date: Nov-28-2012 Time: 21:06 Address: 230 APPLE TREE CT-CO
2011058647,y,4/1/11,2011,04,Friday,22:39:01,22,357 MAPLE GROVE WY-CO,-92.348156,38.898854,65203,V-VANDALISM,Incident: V-VANDALISM<br\>Date: Apr-01-2011<br\>Time: 22:39<br\>Address: 357 MAPLE GROVE WY-CO,Incident: V-VANDALISM Date: Apr-01-2011 Time: 22:39 Address: 357 MAPLE GROVE WY-CO
2012152886,n,8/10/12,2012,08,Friday,1:25:55,01,4633 BRANDON WOODS ST-CO,-92.343586,38.899028,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Aug-10-2012<br\>Time: 01:25<br\>Address: 4633 BRANDON WOODS ST-CO,Incident: SF-SHOTS FIRED Date: Aug-10-2012 Time: 01:25 Address: 4633 BRANDON WOODS ST-CO
2010092970,n,5/10/10,2010,05,Monday,22:01:19,22,4681 BETHEL ST-CO,-92.345285,38.899233,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: May-10-2010<br\>Time: 22:01<br\>Address: 4681 BETHEL ST-CO,Incident: SF-SHOTS FIRED Date: May-10-2010 Time: 22:01 Address: 4681 BETHEL ST-CO
2012127101,n,7/2/12,2012,07,Monday,0:27:43,00,712 PEAR TREE CIR-CO,-92.353447,38.899693,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jul-02-2012<br\>Time: 00:27<br\>Address: 712 PEAR TREE CIR-CO,Incident: SF-SHOTS FIRED Date: Jul-02-2012 Time: 00:27 Address: 712 PEAR TREE CIR-CO
2012108081,n,6/3/12,2012,06,Sunday,2:15:55,02,209 APPLE TREE CT-CO,-92.345909,38.899797,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jun-03-2012<br\>Time: 02:15<br\>Address: 209 APPLE TREE CT-CO,Incident: SF-SHOTS FIRED Date: Jun-03-2012 Time: 02:15 Address: 209 APPLE TREE CT-CO
2011077692,n,4/29/11,2011,04,Friday,22:20:47,22,217 APPLE TREE CT-CO,-92.346165,38.899868,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Apr-29-2011<br\>Time: 22:20<br\>Address: 217 APPLE TREE CT-CO,Incident: SF-SHOTS FIRED Date: Apr-29-2011 Time: 22:20 Address: 217 APPLE TREE CT-CO
2012217207,n,11/14/12,2012,11,Wednesday,13:19:36,13,4600 BETHEL ST-CO,-92.3436,38.900009,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Nov-14-2012<br\>Time: 13:19<br\>Address: 4600 BETHEL ST-CO,Incident: SF-SHOTS FIRED Date: Nov-14-2012 Time: 13:19 Address: 4600 BETHEL ST-CO
2011207061,n,11/8/11,2011,11,Tuesday,4:30:14,04,290 APPLE TREE CT-CO,-92.348168,38.900075,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Nov-08-2011<br\>Time: 04:30<br\>Address: 290 APPLE TREE CT-CO,Incident: SF-SHOTS FIRED Date: Nov-08-2011 Time: 04:30 Address: 290 APPLE TREE CT-CO
2011078958,n,5/1/11,2011,05,Sunday,23:27:09,23,4634 SOUTHAMPTON CT-CO,-92.351485,38.900388,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: May-01-2011<br\>Time: 23:27<br\>Address: 4634 SOUTHAMPTON CT-CO,Incident: SF-SHOTS FIRED Date: May-01-2011 Time: 23:27 Address: 4634 SOUTHAMPTON CT-CO
